Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19117,Fathers and Sons,Ivan Turgenev,"Turgenev, Ivan","George Reavy, Jane Costlow","=""0451529693""","=""9780451529695""",4,3.94,Signet,Mass Market Paperback,244,2005,1862,2007/01/01,2007/11/29,"russian, classics","russian (#2), classics (#27)",read,,,,,,,0,,,,,
28133,Timequake,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0425164349""","=""9780425164341""",4,3.71,Berkley,Paperback,250,1998,1997,2001/01/01,2007/11/29,american,american (#5),read,,,,,,,0,,,,,
135490,Through a Window: My Thirty Years with the Chimpanzees of Gombe,Jane Goodall,"Goodall, Jane",,"=""0618056777""","=""9780618056774""",4,4.25,Mariner Books,Paperback,272,2000,1990,1997/01/01,2007/11/29,"anthropology, for-school","anthropology (#1), for-school (#10)",read,,,,,,,0,,,,,
847168,A View from the Bridge: A Play in Two Acts,Arthur Miller,"Miller, Arthur",,"=""0140481354""","=""9780140481358""",4,3.69,Penguin Books,Paperback,96,1977,1955,2000/01/01,2007/11/29,"american, for-school","american (#43), for-school (#58)",read,,,,,,,0,,,,,
532037,The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,"Castaneda, Carlos",,"=""0671600419""","=""9780671600419""",3,3.94,Washington Square Press,Paperback,256,1985,1968,,2007/11/29,sociology,sociology (#18),read,,,,,,,0,,,,,
13651,The Dispossessed,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0061054887""","=""9780061054884""",4,4.18,Harper Voyager,Paperback,387,1994,1974,1998/01/01,2007/11/29,"scifi, for-school","scifi (#47), for-school (#46)",read,,,,,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.96,Harper Perennial,Paperback,268,1998,1932,1995/01/01,2007/11/29,"scifi, classics, british, for-school","scifi (#45), classics (#45), british (#15), for-school (#45)",read,,,,,,,0,,,,,
5470,1984,George Orwell,"Orwell, George",Erich Fromm,"=""0451524934""","=""9780451524935""",5,4.13,New American Library,Mass Market Paperback,328,1950,1949,1995/01/01,2007/11/29,"for-school, scifi, classics, british, league-of-extraordinary-gentlemen","for-school (#43), scifi (#41), classics (#42), british (#13), league-of-extraordinary-gentlemen (#68)",read,,,,,,,0,,,,,
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",4,4.12,Broadway,Paperback,246,1998,1990,,2007/11/29,"american, for-school","american (#30), for-school (#42)",read,,,,,,,0,,,,,
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",4,4.08,Vintage Books,Paperback,204,1998,1971,1997/01/01,2007/11/29,"american, satire","american (#29), satire (#5)",read,,,,,,,0,,,,,
